gene64	GO:0005083 GO:0051260 GO:0042980 GO:0019717 GO:0030140 GO:0050430 GO:0006893 GO:0015031 GO:0005886
gene65	GO:0042826 GO:0042903 GO:0031323 GO:0005874 GO:0006476 GO:0000118 GO:0016568 GO:0060255
gene66	GO:0016491
gene67	GO:0005488
gene68	GO:0005762 GO:0003735 GO:0006412
gene69	GO:0016787
gene70	GO:0002119 GO:0005811 GO:0005515 GO:0005759 GO:0040010 GO:0006635 GO:0003824
gene71	GO:0007600 GO:0045746 GO:0007610
gene72	GO:0004826 GO:0009328 GO:0005524 GO:0006432
gene73	GO:0009987 GO:0043232 GO:0044446 GO:0005515 GO:0044444 GO:0005634 GO:0005886
gene74	GO:0007424 GO:0007165 GO:0004394
gene75	GO:0003857 GO:0005811 GO:0016508 GO:0006635 GO:0050662 GO:0016507 GO:0004300
gene76	GO:0016829 GO:0019318 GO:0043226 GO:0044424
gene77	GO:0005737 GO:0007268 GO:0004618 GO:0016310 GO:0005524 GO:0006096
gene78	GO:0008270 GO:0006355 GO:0043138 GO:0051301 GO:0003677 GO:0005524 GO:0006270 GO:0007067 GO:0005656 GO:0006267 GO:0007307 GO:0003682
gene79	GO:0003824
gene80	GO:0005515 GO:0005576 GO:0007218
gene81	GO:0046872 GO:0016020
gene82	GO:0046489 GO:0004143 GO:0046834 GO:0007015 GO:0045494 GO:0006654 GO:0019992 GO:0016059 GO:0016020
gene83	GO:0009060 GO:0005743 GO:0005507 GO:0009055 GO:0020037 GO:0006810 GO:0016021 GO:0022900 GO:0004129
gene84	GO:0008553 GO:0046933 GO:0000275 GO:0015986 GO:0040007 GO:0007286 GO:0006911 GO:0005524 GO:0046961 GO:0005811
gene85	GO:0016021
gene86	GO:0016787
gene87	GO:0016020 GO:0016798 GO:0008152
gene88	GO:0005737 GO:0006427 GO:0005524 GO:0004821
gene89	GO:0044237 GO:0016829
gene90	GO:0010878 GO:0033344 GO:0016020 GO:0015485 GO:0010742 GO:0005624 GO:0004772 GO:0034435 GO:0008203 GO:0034379 GO:0000062 GO:0004607 GO:0042986
gene91	GO:0006506 GO:0044464 GO:0016758
gene92	GO:0004683 GO:0004687
gene93	GO:0005488
gene94	GO:0042802 GO:0005758 GO:0006783 GO:0046685 GO:0042493 GO:0004109 GO:0046689
gene95	GO:0042626 GO:0006810 GO:0005524 GO:0043190
gene96	GO:0005840 GO:0003735 GO:0006412
gene97	GO:0016563 GO:0005634 GO:0006355 GO:0007064
gene98	GO:0005743 GO:0008137 GO:0006810 GO:0016021 GO:0042773
